model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,scores
nasa-impact/nasa-ibm-st.38m,percentile,1,50,0.11139084240461711,"[0.13204951856946354, 0.08623853211009175, 0.11588447653429602]"
BAAI/bge-small-en,percentile,1,50,0.11164223753881802,"[0.13360881542699724, 0.08623853211009175, 0.11507936507936507]"
adsabs/astroBERT,percentile,1,50,0.11060413422798744,"[0.1304945054945055, 0.08623853211009175, 0.11507936507936507]"
nasa-impact/nasa-ibm-st.38m,percentile,1,100,0.11139084240461711,"[0.13204951856946354, 0.08623853211009175, 0.11588447653429602]"
bert-base-uncased,percentile,1,50,0.11139084240461711,"[0.13204951856946354, 0.08623853211009175, 0.11588447653429602]"
BAAI/bge-small-en,percentile,1,100,0.11164223753881802,"[0.13360881542699724, 0.08623853211009175, 0.11507936507936507]"
nasa-impact/nasa-ibm-st.38m,percentile,4,50,0.11253082391977513,"[0.13295615275813297, 0.08679245283018867, 0.11784386617100372]"
adsabs/astroBERT,percentile,1,100,0.11060413422798744,"[0.1304945054945055, 0.08623853211009175, 0.11507936507936507]"
BAAI/bge-small-en,percentile,4,50,0.11089209754411185,"[0.13295615275813297, 0.08270676691729323, 0.11701337295690936]"
bert-base-uncased,percentile,1,100,0.11139084240461711,"[0.13204951856946354, 0.08623853211009175, 0.11588447653429602]"
nasa-impact/nasa-ibm-st.38m,percentile,4,100,0.11253082391977513,"[0.13295615275813297, 0.08679245283018867, 0.11784386617100372]"
BAAI/bge-small-en,percentile,4,100,0.11089209754411185,"[0.13295615275813297, 0.08270676691729323, 0.11701337295690936]"
nasa-impact/nasa-ibm-st.38m,percentile,7,50,0.10846527875581534,"[0.12572254335260116, 0.08317214700193423, 0.11650114591291062]"
adsabs/astroBERT,percentile,4,50,0.11144416595897805,"[0.13135593220338984, 0.08679245283018867, 0.1161841128433556]"
bert-base-uncased,percentile,4,50,0.11187349317807982,"[0.12976022566995768, 0.0888468809073724, 0.11701337295690936]"
nasa-impact/nasa-ibm-st.38m,percentile,7,100,0.10846527875581534,"[0.12572254335260116, 0.08317214700193423, 0.11650114591291062]"
BAAI/bge-small-en,percentile,7,50,0.11066862676267859,"[0.13062409288824384, 0.08317214700193423, 0.1182096403978577]"
adsabs/astroBERT,percentile,4,100,0.11144416595897805,"[0.13135593220338984, 0.08679245283018867, 0.1161841128433556]"
nasa-impact/nasa-ibm-st.38m,percentile,10,50,0.10621595097377778,"[0.11964549483013294, 0.07952286282306163, 0.11947949526813881]"
bert-base-uncased,percentile,4,100,0.11187349317807982,"[0.12976022566995768, 0.0888468809073724, 0.11701337295690936]"
BAAI/bge-small-en,percentile,7,100,0.11066862676267859,"[0.13062409288824384, 0.08317214700193423, 0.1182096403978577]"
nasa-impact/nasa-ibm-st.38m,percentile,10,100,0.10621595097377778,"[0.11964549483013294, 0.07952286282306163, 0.11947949526813881]"
adsabs/astroBERT,percentile,7,50,0.11163870684605008,"[0.13062409288824384, 0.08949416342412451, 0.11479786422578185]"
BAAI/bge-small-en,percentile,10,50,0.10878330789611042,"[0.13134328358208955, 0.08167330677290836, 0.11333333333333333]"
bert-base-uncased,percentile,7,50,0.1114001892466633,"[0.12735166425470332, 0.08949416342412451, 0.11735474006116207]"
nasa-impact/nasa-ibm-st.38m,percentile,13,50,0.10240581655087987,"[0.11010558069381599, 0.07991803278688525, 0.11719383617193836]"
nasa-impact/nasa-ibm-st.38m,percentile,13,100,0.10240581655087987,"[0.11010558069381599, 0.07991803278688525, 0.11719383617193836]"
BAAI/bge-large-en-v1.5,percentile,1,50,0.11112247191964013,"[0.13204951856946354, 0.08623853211009175, 0.11507936507936507]"
BAAI/bge-small-en,percentile,10,100,0.10878330789611042,"[0.13134328358208955, 0.08167330677290836, 0.11333333333333333]"
adsabs/astroBERT,percentile,7,100,0.11163870684605008,"[0.13062409288824384, 0.08949416342412451, 0.11479786422578185]"
bert-base-uncased,percentile,7,100,0.1114001892466633,"[0.12735166425470332, 0.08949416342412451, 0.11735474006116207]"
nasa-impact/nasa-ibm-st.38m,percentile,16,50,0.1010845342637724,"[0.1104199066874028, 0.07805907172995781, 0.1147746243739566]"
BAAI/bge-small-en,percentile,13,50,0.10816252550607675,"[0.130568356374808, 0.08213552361396304, 0.11178369652945924]"
adsabs/astroBERT,percentile,10,50,0.11053878250491304,"[0.12965722801788376, 0.086, 0.11595911949685535]"
nasa-impact/nasa-ibm-st.38m,percentile,16,100,0.1010845342637724,"[0.1104199066874028, 0.07805907172995781, 0.1147746243739566]"
bert-base-uncased,percentile,10,50,0.11053797035999274,"[0.13134328358208955, 0.08167330677290836, 0.1185973207249803]"
BAAI/bge-small-en,percentile,13,100,0.10816252550607675,"[0.130568356374808, 0.08213552361396304, 0.11178369652945924]"
nasa-impact/nasa-ibm-st.38m,percentile,19,50,0.102131955530125,"[0.11254019292604502, 0.08078602620087336, 0.11306964746345657]"
adsabs/astroBERT,percentile,10,100,0.11053878250491304,"[0.12965722801788376, 0.086, 0.11595911949685535]"
bert-base-uncased,percentile,10,100,0.11053797035999274,"[0.13134328358208955, 0.08167330677290836, 0.1185973207249803]"
BAAI/bge-small-en,percentile,16,50,0.10662499193022472,"[0.12618296529968454, 0.0826271186440678, 0.1110648918469218]"
BAAI/bge-large-en-v1.5,percentile,1,100,0.11112247191964013,"[0.13204951856946354, 0.08623853211009175, 0.11507936507936507]"
nasa-impact/nasa-ibm-st.38m,percentile,19,100,0.102131955530125,"[0.11254019292604502, 0.08078602620087336, 0.11306964746345657]"
nasa-impact/nasa-ibm-st.38m,percentile,22,50,0.10064930486438328,"[0.1111111111111111, 0.08144796380090498, 0.10938883968113375]"
BAAI/bge-small-en,percentile,16,100,0.10662499193022472,"[0.12618296529968454, 0.0826271186440678, 0.1110648918469218]"
adsabs/astroBERT,percentile,13,50,0.10967117964000143,"[0.12883435582822086, 0.0865979381443299, 0.11358124494745352]"
bert-base-uncased,percentile,13,50,0.11010503722570629,"[0.130568356374808, 0.08436213991769548, 0.11538461538461539]"
nasa-impact/nasa-ibm-st.38m,percentile,22,100,0.10064930486438328,"[0.1111111111111111, 0.08144796380090498, 0.10938883968113375]"
BAAI/bge-small-en,percentile,19,50,0.10418259127535008,"[0.12155591572123177, 0.08078602620087336, 0.11020583190394512]"
