1,['10.1111/j.1365-246X.1990.tb06579.x'],body
8,['10.3402/tellusa.v21i5.10109'],body
11,['10.1029/93WR02979'],body
15,['10.1086/145416'],reference
23,['10.1126/science.204.4396.979'],body
24,unk,reference|doi|abstract|body
25,['10.1029/93JA01171'],body
29,['10.1038/272706a0'],body
31,unk,reference|doi|body
33,unk,doi|body
35,unk,doi
39,['10.1144/GSL.SP.1993.076.01.04'],abstract|body
41,['10.1126/science.1109447'],body
44,unk,doi
50,['10.1130/0091-7613(1988)016<1081:THOSZI>2.3.CO;2'],body
52,['10.1007/BFb0106458'],reference|body
60,['10.1017/CBO9780511536151'],reference|body
62,unk,doi
63,unk,doi
70,['10.1130/0016-7606(1972)83[1755:ESOCP]2.0.CO;2'],reference|abstract|body
71,unk,doi
78,['10.1016/0013-7952(92)90053-2'],reference
81,['10.1029/94JA02266'],body
88,unk,doi
95,['10.1080/014311698215586'],reference|abstract|body
97,['10.1130/GES01537.1'],abstract|body
99,['10.1007/BF01415851'],body
103,['10.1017/S0016756898008917'],reference|abstract|body
104,['10.1086/125410'],abstract|body
113,unk,doi
114,['10.1016/0083-6656(94)90002-7'],body
116,['10.1086/128456'],abstract
120,unk,doi
121,unk,doi
125,unk,doi
130,['10.1086/190133'],reference
131,['10.1366/0003702981942654'],abstract|body
136,['10.1029/JZ070i013p02943'],body
137,['10.1117/12.200596'],body
139,['10.1080/16000889.2017.1328945'],abstract|body
148,unk,doi
150,unk,reference|doi|abstract
151,['10.1029/JB086iB11p10223'],body
155,['10.1029/2009SW000523'],reference
156,['10.1126/science.240.4853.779'],body
157,['10.1126/science.239.4847.1523'],body
161,['10.1016/j.precamres.2007.04.013'],abstract
163,['10.5194/acp-16-1303-2016'],body
165,['10.1029/2000JA900176'],body
166,['10.1029/92JE02737'],body
173,['10.1029/JA078i031p07314'],body
174,['10.1002/1099-1085(200011/12)14:16/17<2849::AID-HYP123>3.0.CO;2-X'],body
176,['10.1029/2000JD000198'],body
179,unk,reference|doi|abstract
180,unk,doi
191,['10.1086/148720'],reference|abstract
195,unk,doi
196,unk,doi
206,['10.1029/1998JA900010'],body
216,unk,doi
220,['10.1017/S0016756805000555'],reference|abstract|body
222,['10.1007/978-3-642-75361-9_4'],reference|abstract
224,['10.1016/0033-5894(92)90070-Y'],body
226,['10.1002/andp.201200077'],body
227,['10.2113/gsecongeo.64.4.383'],reference|abstract|body
228,['10.1130/G25580A.1'],abstract|body
229,['10.1086/110808'],reference|abstract
234,['10.1017/S001675681700098X'],body
236,['10.1029/JA079i013p01994'],body
237,['10.1029/94JA01976'],body
244,unk,reference|doi|body
249,['10.1007/BF00373776'],body
254,unk,doi
255,['10.1029/91JA01705'],body
257,['10.1021/ed056p571'],reference|abstract|body
259,['10.1017/S1743921317004860'],body
261,unk,doi|abstract
262,unk,doi
264,unk,doi|body
272,['10.1002/gj.3350260205'],body
273,['10.1017/S0016756802006490'],reference|abstract|body
275,['10.1175/1520-0493(1964)092<0128:THSO>2.3.CO;2'],reference|body
277,['10.1007/BFb0106346'],reference|abstract|body
278,unk,doi|abstract
280,['10.1063/1.36417'],reference|body
283,unk,reference|doi
284,['10.1029/GM111p0025'],body
285,['10.1063/1.3141589'],body
288,['10.1007/BF01005580'],abstract|body
289,['10.1086/125179'],reference|abstract
291,['10.1007/978-3-658-18113-0'],reference|abstract|body
294,unk,reference|doi|body
298,['10.1038/386686a0'],body
300,['10.1175/1520-0493(2004)132<0519:EFOWPU>2.0.CO;2'],abstract|body
308,['10.1126/science.1156563'],body
317,['10.1006/icar.1997.5712'],body
327,['10.1073/pnas.0902037106'],body
331,['10.1016/0003-4916(76)90112-3'],abstract
343,['10.1029/93WR00540'],body
344,unk,doi
346,['10.1086/145535'],reference
347,unk,doi|abstract
350,['10.1029/JA095iA06p08211'],body
351,['10.1016/0031-0182(93)90087-Y'],abstract
357,['10.1111/j.1525-1314.2005.00584.x'],body
359,['10.1360/03yd0256'],reference|abstract|body
364,['10.1021/es0523340'],abstract|body
367,unk,reference|doi|abstract|body
368,['10.1038/359223a0'],body
369,['10.1002/esp.3290170510'],body
370,unk,reference|doi|abstract|body
385,unk,doi
386,['10.1038/348298a0'],body
400,['10.1016/S0031-0182(02)00578-3'],abstract
401,['10.1029/97RS03050'],body
402,['10.1029/JC074i018p04544'],body
403,['10.1038/321500a0'],body
407,['10.1029/91JA00795'],body
408,['10.1029/94GL01223'],reference|body
409,['10.1029/95GL02480'],body
418,unk,doi|abstract
419,unk,doi|abstract
421,unk,doi
424,unk,reference|doi|abstract
430,['10.1029/GL014i010p01027'],body
431,['10.1002/(SICI)1099-1417(1998110)13:6<549::AID-JQS394>3.0.CO;2-A'],abstract|body
438,['10.1130/0016-7606(2001)113<1387:PSSITA>2.0.CO;2'],reference|abstract|body
443,['10.1016/S0065-2687(01)80002-9'],abstract|body
450,['10.1029/95JE01855'],body
453,['10.1785/0220160016'],reference|abstract|body
456,unk,reference|doi|abstract|body
462,unk,doi
463,['10.1175/1520-0493(1973)101<0426:QALFIT>2.3.CO;2'],reference|abstract|body
468,unk,doi
469,['10.1006/icar.1999.6219'],body
472,['10.1016/S0031-0182(01)00493-X'],abstract
476,['10.1109/TGRS.1980.350282'],reference|body
482,['10.1029/JA087iA03p01395'],body
483,unk,doi
486,unk,reference|doi|body
492,['10.1016/j.geoderma.2007.01.018'],abstract
494,unk,doi
496,unk,doi
498,['10.1029/JA081i019p03179'],body
504,['10.1029/GM035p0051'],body
507,['10.1029/97JE03018'],body
